Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,07:30,64068,7,30
아시아나항공,07:30,151017,7,30
에어부산,08:30,64068,8,30
아시아나항공,08:30,151017,8,30
에어부산,09:30,64068,9,30
아시아나항공,09:30,151017,9,30
에어부산,10:30,64068,10,30
아시아나항공,10:30,151017,10,30
에어부산,11:30,64068,11,30
아시아나항공,11:30,151017,11,30
에어부산,12:30,67967,12,30
아시아나항공,12:30,151017,12,30
에어부산,14:30,87289,14,30
아시아나항공,14:30,151017,14,30
에어부산,15:30,87289,15,30
아시아나항공,15:30,151017,15,30
제주항공,16:05,100170,16,5
에어부산,16:30,87289,16,30
아시아나항공,16:30,151017,16,30
에어부산,17:30,87289,17,30
아시아나항공,17:30,151017,17,30
에어부산,18:30,87289,18,30
아시아나항공,18:30,151017,18,30
에어부산,19:30,87289,19,30
아시아나항공,19:30,151017,19,30
제주항공,19:50,80848,19,50
에어부산,20:30,87289,20,30
에어부산,21:30,87289,21,30
아시아나항공,21:30,151017,21,30
